Address	Status-Code	Status-Text	Type	Size	Title	Date	Level	Links Out	Links In	Server	Error	Duration	Charset	Description
https://download.gimp.org/gegl/0.2/	200	ok	text/html	1506	Index of /gegl/0.2/		2	9	2	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/gegl/0.3/	200	ok	text/html	4938	Index of /gegl/0.3/		2	28	2	nginx/1.20.1		00:00.132	utf-8	
https://download.gimp.org/gegl/0.4/	200	ok	text/html	6292	Index of /gegl/0.4/		2	36	4	nginx/1.20.1		00:00.128	utf-8	
https://download.gimp.org/gegl/README	200	ok	text/html		README		2	1	7	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/gegl-gtk/?C=N&O=A	200	ok	text/html	1417	Index of /gegl-gtk/		2	9	7	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/gegl-gtk/0.0/	200	ok	text/html	1348	Index of /gegl-gtk/0.0/		2	8	2	nginx/1.20.1		00:00.104	utf-8	
https://download.gimp.org/gegl-gtk/README	200	ok	text/html		README		2	1	7	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/gegl-qt/?C=N&O=A	200	ok	text/html	1415	Index of /gegl-qt/		2	9	7	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gegl-qt/0.0/	200	ok	text/html	1342	Index of /gegl-qt/0.0/		2	8	2	nginx/1.20.1		00:00.101	utf-8	
https://download.gimp.org/gegl-qt/README	200	ok	text/html		README		2	1	7	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/gimp/?C=N&O=A	200	ok	text/html	5102	Index of /gimp/		2	36	7	nginx/1.20.1		00:00.120	utf-8	
https://download.gimp.org/gimp/contrib/	200	ok	text/html	5172	Index of /gimp/contrib/		2	24	2	nginx/1.20.1		00:00.114	utf-8	
https://download.gimp.org/gimp/extras/	200	ok	text/html	3021	Index of /gimp/extras/		2	17	2	nginx/1.20.1		00:00.110	utf-8	
https://download.gimp.org/gimp/fonts/	200	ok	text/html	2244	Index of /gimp/fonts/		2	13	2	nginx/1.20.1		00:00.106	utf-8	
https://download.gimp.org/gimp/help/	200	ok	text/html	14027	Index of /gimp/help/		2	71	4	nginx/1.20.1		00:00.162	utf-8	
https://download.gimp.org/gimp/historical/	200	ok	text/html	1533	Index of /gimp/historical/		2	9	2	nginx/1.20.1		00:00.115	utf-8	
https://download.gimp.org/gimp/lgm/	200	ok	text/html	1280	Index of /gimp/lgm/		2	8	4	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gimp/net-fu/	200	ok	text/html	2245	Index of /gimp/net-fu/		2	13	2	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gimp/plug-ins/	200	ok	text/html	1830	Index of /gimp/plug-ins/		2	12	10	nginx/1.20.1		00:00.099	utf-8	
https://download.gimp.org/gimp/plugin-template/	200	ok	text/html	2846	Index of /gimp/plugin-template/		2	15	2	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/gimp/v0.99/	200	ok	text/html	1567	Index of /gimp/v0.99/		2	10	6	nginx/1.20.1		00:00.104	utf-8	
https://download.gimp.org/gimp/v1.0/	200	ok	text/html	1559	Index of /gimp/v1.0/		2	10	6	nginx/1.20.1		00:00.103	utf-8	
https://download.gimp.org/gimp/v1.1/	200	ok	text/html	1562	Index of /gimp/v1.1/		2	10	6	nginx/1.20.1		00:00.105	utf-8	
https://download.gimp.org/gimp/v1.2/	200	ok	text/html	1737	Index of /gimp/v1.2/		2	11	6	nginx/1.20.1		00:00.106	utf-8	
https://download.gimp.org/gimp/v1.3/	200	ok	text/html	4849	Index of /gimp/v1.3/		2	33	50	nginx/1.20.1		00:00.106	utf-8	
https://download.gimp.org/gimp/v2.0/	200	ok	text/html	6142	Index of /gimp/v2.0/		2	35	2	nginx/1.20.1		00:00.201	utf-8	
https://download.gimp.org/gimp/v2.1/	200	ok	text/html	4439	Index of /gimp/v2.1/		2	25	2	nginx/1.20.1		00:00.132	utf-8	
https://download.gimp.org/gimp/v2.10/	200	ok	text/html	7028	Index of /gimp/v2.10/		2	40	10	nginx/1.20.1		00:00.151	utf-8	
https://download.gimp.org/gimp/v2.2/	200	ok	text/html	23329	Index of /gimp/v2.2/		2	131	2	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/gimp/v2.3/	200	ok	text/html	8918	Index of /gimp/v2.3/		2	49	2	nginx/1.20.1		00:00.144	utf-8	
https://download.gimp.org/gimp/v2.4/	200	ok	text/html	7009	Index of /gimp/v2.4/		2	40	4	nginx/1.20.1		00:00.102	utf-8	
https://download.gimp.org/gimp/v2.5/	200	ok	text/html	3335	Index of /gimp/v2.5/		2	19	2	nginx/1.20.1		00:00.113	utf-8	
https://download.gimp.org/gimp/v2.6/	200	ok	text/html	10283	Index of /gimp/v2.6/		2	58	4	nginx/1.20.1		00:00.158	utf-8	
https://download.gimp.org/gimp/v2.7/	200	ok	text/html	3703	Index of /gimp/v2.7/		2	21	2	nginx/1.20.1		00:00.098	utf-8	
https://download.gimp.org/gimp/v2.8/	200	ok	text/html	9211	Index of /gimp/v2.8/		2	50	5	nginx/1.20.1		00:00.110	utf-8	
https://download.gimp.org/gimp/v2.9/	200	ok	text/html	4053	Index of /gimp/v2.9/		2	23	4	nginx/1.20.1		00:00.112	utf-8	
https://download.gimp.org/gimp/v2.99/	200	ok	text/html	4425	Index of /gimp/v2.99/		2	26	10	nginx/1.20.1		00:00.122	utf-8	
https://download.gimp.org/gimp/v3.0/	200	ok	text/html	2446	Index of /gimp/v3.0/		2	15	8	nginx/1.20.1		00:00.097	utf-8	
https://download.gimp.org/gimp/video/	200	ok	text/html	1689	Index of /gimp/video/		2	11	10	nginx/1.20.1		00:00.105	utf-8	
https://download.gimp.org/gimp/README	200	ok	text/html		README		2	1	7	nginx/1.20.1		00:00.107	utf-8	
https://download.gimp.org/glib/?C=N&O=A	200	ok	text/html	4474	Index of /glib/		2	32	7	nginx/1.20.1		00:00.127	utf-8	
